from_station_id,to_station_id,count,from_station_addy,to_station_addy,from_station_lng,to_station_lng,from_station_lat,to_station_lat,polyline,distance,time
90,35,2032,Millennium Park,Streeter Dr & Illinois St,-87.62408432,-87.6122,41.8810317,41.891071,m{r~FlbyuOUAS?sAG_@@o@?G?U?oEDcBDM@M@o@Dk@BWBqBFqABaABgB?gA@S@K?]@I?yC?kA?E????M@sA@yDLcCDWFk@Hy@LkALmB@U@M?W@QDyA??A[DUFM@OTcJH[??Bw@?g@@[HcFDuD@e@BwB?MEIOC??a@AM@G?I?c@?M?{@@iA@??mBUqDYeACI?IAu@?a@@???O?eAAmF,1.373,259
3,76,1891,Shedd Aquarium,Lake Shore Dr & Monroe St,-87.61535539,-87.616743,41.86722596,41.880958,uap~F|cwuOFHDDL@NA|@UNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEB???]Aw@,1.522,208
3,35,1766,Shedd Aquarium,Streeter Dr & Illinois St,-87.61535539,-87.6122,41.86722596,41.891071,uap~F|cwuOFHDDL@NA|@UNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEBk@Ai@?k@CeAKKEYI_@U??q@y@i@y@_@eAMk@WoBOu@g@yAw@qAWY{@q@}@g@??QIMGo@Oo@G_AB_AFaCPgCRUDI@SLKAGBYVQVKLMFM@G?I?c@?M?{@@iA@??mBUqDYeACI?IAu@?a@@???O?eAAmF,2.391,322
341,76,1764,Adler Planetarium,Lake Shore Dr & Monroe St,-87.607267,-87.616743,41.866095,41.880958,w~o~FfyuuOCCm@@CB@~O?XH|M?^@tA?f@?r@Bl@DXPPVHNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEB???]Aw@,1.862,294
76,341,1752,Lake Shore Dr & Monroe St,Adler Planetarium,-87.616743,-87.607267,41.880958,41.866095,{zr~F~swuO@v@?\?t@??~NMxNK\?nBCrBGP@b@ClECfSKh@Bn@Hj@Pf@Vv@j@p@l@r@n@d@b@vAnANNRN???f@M^AhA?d@@|A?`@??\En@OhCk@vA[`AU??RSHE|A]JEJODa@?iAAq@@_@?uA?kB?{@?q@?IAuB?oDCe@?]?gAAwBC]?_@??O?I?kA?c@CYGIEQEGEGA???}@?o@?k@?e@?YIgN?W?OKmO,1.944,318
35,3,1732,Streeter Dr & Illinois St,Shedd Aquarium,-87.6122,-87.61535539,41.891071,41.86722596,ozt~FdwvuOA{B??eDD??@jABhFDvBDzB??xCM~A?H?dAA^AnDC??NI|@?L?|@AnAAd@?n@AFDVC??HAJK\SREN?tBIhEEp@@TDn@NLFb@VNPNFPJn@j@n@v@V`@j@pA`AtC^z@Zj@r@t@`@Zn@^XJr@P`@D|@BfA?~NMxNK\?nBCrBGP@b@ClECfSKh@Bn@Hj@Pf@Vv@j@p@l@r@n@d@b@vAnANNRN???f@M^AhA?d@@|A?`@??\En@OhCk@vA[`AU??RSHE|A]JEJODa@?iAAq@@_@?uA?kB?{@?q@?IAuB?oDCe@?]?gAAwBC]?_@??O?I?kA?c@CYGIEQEGEGAUIWCO@??WDQHKLGNAV?PHP,2.71,388
76,3,1719,Lake Shore Dr & Monroe St,Shedd Aquarium,-87.616743,-87.61535539,41.880958,41.86722596,{zr~F~swuO@v@?\?t@??~NMxNK\?nBCrBGP@b@ClECfSKh@Bn@Hj@Pf@Vv@j@p@l@r@n@d@b@vAnANNRN???f@M^AhA?d@@|A?`@??\En@OhCk@vA[`AU??RSHE|A]JEJODa@?iAAq@@_@?uA?kB?{@?q@?IAuB?oDCe@?]?gAAwBC]?_@??O?I?kA?c@CYGIEQEGEGAUIWCO@??WDQHKLGNAV?PHP,1.68,274
4,76,1679,Burnham Harbor,Lake Shore Dr & Monroe St,-87.613348,-87.616743,41.856268,41.880958,{`n~Fl~vuOFf@BN??g@Pc@He@FcADi@?e@HOF]ZYf@KFqAr@??Rn@FZJjAFnC??WPy@n@yB`Be@XyAp@mAv@[HmCz@sAb@_FhAqB\yCb@uEj@w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEB???]Aw@,1.909,227
6,35,1560,Dusable Harbor,Streeter Dr & Illinois St,-87.61279454,-87.6122,41.88504199,41.891071,gqs~F~|vuOEF@v@??o@Oo@G_AB_AFaCPgCRUDI@SLKAGBYVQVKLMFM@G?I?c@?M?{@@iA@??mBUqDYeACI?IAu@?a@@???O?eAAmF,0.565,78
76,268,1519,Lake Shore Dr & Monroe St,Lake Shore Dr & North Blvd,-87.616743,-87.626804,41.880958,41.911722,{zr~F~swuO@v@?\??k@Ai@?k@CeAKKEYI_@U]WY[W[U]a@s@Oc@k@aCa@yAa@_AS[S[o@o@WSi@[KE[M]IaAGg@?m@BoDX_CTW@_AJY@yADG?G?}@BS?s@@G?_A@sA@eCI]Ei@AG?sA?K?}CFy@?a@@[Bq@DSBe@J_@N_Ah@}B|AiAr@gBhAcDjB}EtCoHnEi@ZsGvDWLe@VwAx@g@b@OTYl@Qt@KbBMrEKjAIf@Kf@a@pAQ`@[j@KPo@r@[Xw@d@]LgAZwCl@u@LqATaANeG`AaLdBcC^{@FqAB??uAQiBB{ACaAGi@IaAKm@Ca@?y@Hs@NMFUXMZOR??RRFRzAzAd@v@HT??PI`@UvAq@@?,2.719,248
